LCSC Part,First Category,Second Category,MFR.Part,Package,Solder JointManufacturer,Library Type,Description,Datasheet,Stock,Price
C17606,Resistors,Chip Resistor - Surface Mount,0805W8F200KT5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±1% ±400ppm/℃ 2Ω 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F200KT5E_C17606.pdf,301505,"20-180:0.002366197,200-980:0.001845070,1000-1980:0.001400000,2000-9980:0.001274648,10000-10020:0.001108451,10040-:0.001108451"
C17614,Resistors,Chip Resistor - Surface Mount,0805W8F3901T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 3.9kΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F3901T5E_C17614.pdf,149167,"20-180:0.001535211,200-980:0.001200000,1000-1980:0.001000000,2000-9980:0.000921127,10000-10020:0.000816901,10040-:0.000816901"
C17616,Resistors,Chip Resistor - Surface Mount,0805W8F3003T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 300kΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F3003T5E_C17616.pdf,113556,"20-180:0.001507042,200-980:0.001173239,1000-1980:0.001000000,2000-9980:0.000921127,10000-10020:0.000816901,10040-:0.000816901"
C17617,Resistors,Chip Resistor - Surface Mount,0805W8F3000T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 300Ω 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F3000T5E_C17617.pdf,328726,"20-180:0.001521127,200-980:0.001194366,1000-1980:0.000995775,2000-9980:0.000918310,10000-10020:0.000814085,10040-:0.000814085"
C17621,Resistors,Chip Resistor - Surface Mount,0805W8F3002T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 30kΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F3002T5E_C17621.pdf,355173,"20-180:0.001507042,200-980:0.001178873,1000-1980:0.001004225,2000-9980:0.000925352,10000-10020:0.000819718,10040-:0.000819718"
C17629,Resistors,Chip Resistor - Surface Mount,0805W8F3303T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 330kΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F3303T5E_C17629.pdf,90461,"20-180:0.001549296,200-980:0.001221127,1000-1980:0.000921127,2000-9980:0.000840845,10000-10020:0.000735211,10040-:0.000735211"
C17630,Resistors,Chip Resistor - Surface Mount,0805W8F3300T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 330Ω 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F3300T5E_C17630.pdf,527323,"20-180:0.001535211,200-980:0.001200000,1000-1980:0.001000000,2000-9980:0.000921127,10000-10020:0.000816901,10040-:0.000816901"
C17633,Resistors,Chip Resistor - Surface Mount,0805W8F3302T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 33kΩ 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F3302T5E_C17633.pdf,216894,"20-180:0.001549296,200-980:0.001216901,1000-1980:0.001012676,2000-9980:0.000932394,10000-10020:0.000826761,10040-:0.000826761"
C17634,Resistors,Chip Resistor - Surface Mount,0805W8F330JT5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±1% ±200ppm/℃ 33Ω 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F330JT5E_C17634.pdf,185808,"20-180:0.001507042,200-980:0.001178873,1000-1980:0.000980282,2000-9980:0.000901408,10000-10020:0.000797183,10040-:0.000797183"
C17655,Resistors,Chip Resistor - Surface Mount,0805W8F3900T5E,0805,2UNI-ROYAL(Uniroyal Elec),base,125mW Thick Film Resistors ±100ppm/℃ ±1% 390Ω 0805  Chip Resistor - Surface Mount ROHS,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F3900T5E_C17655.pdf,195859,"20-180:0.001535211,200-980:0.001200000,1000-1980:0.001001408,2000-9980:0.000921127,10000-10020:0.000816901,10040-:0.000816901"
